4 166 51 29
6 167 51 29
8 166 51 29
9 167 51 29
10 167 51 29
12 167 51 29
14 168 51 29
15 168 51 29
16 168 51 29
18 168 51 29
19 168 51 29
20 168 51 29
22 168 51 29
23 169 51 29
25 169 51 29
26 169 51 29
27 169 51 29
28 169 51 29
30 170 51 29
32 170 51 29
33 170 51 29
35 170 51 29
37 171 51 29
39 171 51 29
40 171 51 29
41 171 51 29
42 171 51 29
43 172 51 29
44 172 51 29
45 172 51 29
46 172 51 29
47 172 51 29
48 171 51 29
49 172 51 29
50 172 51 29
51 172 51 29
53 172 51 29
53 172 51 29
54 172 51 29
56 172 51 29
57 173 51 29
57 174 51 29
60 171 51 29
59 173 51 29
61 172 51 29
63 171 51 29
64 172 51 29
65 171 51 29
66 173 51 29
68 172 51 29
70 172 51 29
70 172 51 29
71 172 51 29
72 172 51 29
73 173 51 29
75 171 51 29
76 171 51 29
78 171 51 29
78 171 51 29
80 171 51 29
81 172 51 29
83 171 51 29
83 172 51 29
84 172 51 29
83 172 51 29
84 172 51 29
85 172 51 29
83 172 51 29
84 173 51 29
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
85 178 51 29
85 178 51 29
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
121 177 51 29
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
140 176 51 29
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
190 177 51 29 
176 175 51 29 
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
196 178 51 29 
0 0 0 0 -1
0 0 0 0 -1
178 168 51 29 
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
0 0 0 0 -1
